"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7276","Rechercher collaborateur","webkit","Mon Mar 03 09:13:05 UTC 2025","passed","Mon Mar 03 09:13:13 UTC 2025","TestSuite Collaborateurs","ExecutionTest.spec.ts","",""
"","5005","details collaborateur","chromium","Mon Mar 03 09:10:20 UTC 2025","passed","Mon Mar 03 09:10:25 UTC 2025","TestSuite Collaborateurs","ExecutionTest.spec.ts","",""
"","7463","Rechercher collaborateur","chromium","Mon Mar 03 09:10:28 UTC 2025","passed","Mon Mar 03 09:10:35 UTC 2025","TestSuite Collaborateurs","ExecutionTest.spec.ts","",""
"","381","get started link","chromium","Mon Mar 03 09:10:01 UTC 2025","passed","Mon Mar 03 09:10:01 UTC 2025","","example.spec.ts","",""
"","6194","Supprimer une categorie socio_prifessionnelle","firefox","Mon Mar 03 09:12:10 UTC 2025","passed","Mon Mar 03 09:12:17 UTC 2025","TestSuite Organisation","ExecutionTest.spec.ts","",""
"","5375","Supprimer une categorie socio_prifessionnelle","chromium","Mon Mar 03 09:10:54 UTC 2025","passed","Mon Mar 03 09:10:59 UTC 2025","TestSuite Organisation","ExecutionTest.spec.ts","",""
"","5709","Ajout collaborateur","firefox","Mon Mar 03 09:11:17 UTC 2025","passed","Mon Mar 03 09:11:22 UTC 2025","TestSuite Collaborateurs","ExecutionTest.spec.ts","",""
"","6441","Modifier collaborateur","webkit","Mon Mar 03 09:12:44 UTC 2025","passed","Mon Mar 03 09:12:50 UTC 2025","TestSuite Collaborateurs","ExecutionTest.spec.ts","",""
"","2476","Visualiser les différets types demandes","firefox","Mon Mar 03 09:11:51 UTC 2025","passed","Mon Mar 03 09:11:53 UTC 2025","TestSuite Demande","ExecutionTest.spec.ts","",""
"","3802","Valider une demande d'urgence","webkit","Mon Mar 03 09:13:16 UTC 2025","passed","Mon Mar 03 09:13:19 UTC 2025","TestSuite Demande","ExecutionTest.spec.ts","",""
